frame, rotation
1,0
2,-0.19999999999998863
3,-0.2599999999999909
4,-0.47999999999998977
5,-0.4399999999999977
6,-0.6200000000000045
7,-0.5600000000000023
8,-0.7599999999999909
9,-0.7800000000000011
10,-1.039999999999992
11,-1.0200000000000102
12,-1.0600000000000023
13,-1.0
14,-0.9199999999999875
15,-0.960000000000008
16,-0.8799999999999955
17,-0.8400000000000034
18,-0.6599999999999966
19,-0.539999999999992
20,-0.46000000000000796
21,-0.3400000000000034
22,-0.19999999999998863
23,-0.09999999999999432
24,-0.060000000000002274
25,0.09999999999999432
26,0.3400000000000034
27,0.36000000000001364
28,0.6599999999999966
29,0.7400000000000091
30,1.0
31,1.0999999999999943
32,1.259999999999991
33,1.4199999999999875
34,1.539999999999992
35,1.6399999999999864
36,1.8000000000000114
37,1.9199999999999875
38,1.9799999999999898
39,2.0600000000000023
40,2.039999999999992
41,2.0600000000000023
42,2.0600000000000023
43,2.0600000000000023
44,2.0
45,2.039999999999992
46,1.960000000000008
47,1.8400000000000034
48,1.8000000000000114
49,1.6399999999999864
50,1.4199999999999875
51,1.4000000000000057
52,1.259999999999991
53,1.1399999999999864
54,0.8799999999999955
55,0.8600000000000136
56,0.6599999999999966
57,0.5600000000000023
58,0.47999999999998977
59,0.2599999999999909
60,0.0800000000000125
61,0.020000000000010232
62,-0.18000000000000682
63,-0.18000000000000682
64,-0.47999999999998977
65,-0.4000000000000057
66,-0.5600000000000023
67,-0.6800000000000068
68,-0.7599999999999909
69,-0.7199999999999989
70,-0.9199999999999875
71,-0.8400000000000034
72,-0.9199999999999875
73,-0.9199999999999875
74,-0.8799999999999955
75,-0.9000000000000057
76,-0.7599999999999909
77,-0.7599999999999909
78,-0.6599999999999966
79,-0.5
80,-0.46000000000000796
81,-0.19999999999998863
82,-0.13999999999998636
83,-0.0800000000000125
84,0.13999999999998636
85,0.21999999999999886
86,0.539999999999992
87,0.5600000000000023
88,0.7400000000000091
89,1.0200000000000102
90,1.1999999999999886
91,1.3000000000000114
92,1.4399999999999977
93,1.7199999999999989
94,1.8600000000000136
95,1.960000000000008
96,2.039999999999992
97,2.219999999999999
98,2.219999999999999
99,2.3600000000000136
100,2.3400000000000034
101,2.4799999999999898
102,2.4199999999999875
103,2.4199999999999875
104,2.4000000000000057
105,2.3799999999999955
106,2.240000000000009
107,2.1999999999999886
108,2.1200000000000045
109,2.0600000000000023
110,1.9399999999999977
111,1.8400000000000034
112,1.5600000000000023
113,1.5
114,1.3199999999999932
115,1.2800000000000011
116,1.1399999999999864
117,1.0200000000000102
118,0.7599999999999909
119,0.6599999999999966
120,0.5800000000000125
121,0.3400000000000034
122,0.3199999999999932
123,0.12000000000000455
124,0.09999999999999432
125,-0.1599999999999966
126,-0.28000000000000114
127,-0.30000000000001137
128,-0.4000000000000057
129,-0.4199999999999875
130,-0.5
131,-0.4399999999999977
132,-0.5200000000000102
133,-0.5
134,-0.5
135,-0.5600000000000023
136,-0.4399999999999977
137,-0.3199999999999932
138,-0.2599999999999909
139,-0.1599999999999966
140,-0.03999999999999204
141,0.060000000000002274
142,0.12000000000000455
143,0.3199999999999932
144,0.4199999999999875
145,0.6399999999999864
146,0.7400000000000091
147,0.960000000000008
148,0.9399999999999977
149,-0.12000000000000455
150,-0.9399999999999977
151,-0.7400000000000091
152,-0.5600000000000023
153,-0.37999999999999545
154,-0.30000000000001137
155,0.21999999999999886
156,0.6399999999999864
157,0.8199999999999932
158,0.9000000000000057
159,0.9399999999999977
160,1.0600000000000023
161,1.1200000000000045
162,1.1200000000000045
163,1.0600000000000023
164,1.1200000000000045
165,1.1200000000000045
166,1.0800000000000125
167,0.9799999999999898
168,0.8400000000000034
169,0.8600000000000136
170,0.6200000000000045
171,0.5
172,0.09999999999999432
173,0.060000000000002274
174,-0.0800000000000125
175,-0.12000000000000455
176,-0.2599999999999909
177,-0.4399999999999977
178,-0.539999999999992
179,-0.6399999999999864
180,-0.8000000000000114
181,-0.9399999999999977
182,-1.0600000000000023
183,-1.1399999999999864
184,-1.1999999999999886
185,-1.3400000000000034
186,-1.0
187,-0.6599999999999966
188,-0.5999999999999943
189,-0.6399999999999864
190,-0.6800000000000068
191,-0.6399999999999864
192,-0.7400000000000091
193,-0.6800000000000068
194,-0.6399999999999864
195,-0.6800000000000068
196,-0.5999999999999943
197,-0.5
198,-0.46000000000000796
199,-0.36000000000001364
200,-0.2599999999999909
201,-0.13999999999998636
202,-0.2400000000000091
203,-0.7199999999999989
204,-0.6399999999999864
205,-0.5
206,-0.28000000000000114
207,-0.18000000000000682
208,-0.020000000000010232
209,0.09999999999999432
210,0.3199999999999932
211,0.47999999999998977
212,0.5999999999999943
213,0.8000000000000114
214,0.9000000000000057
215,1.039999999999992
216,1.1399999999999864
217,1.2800000000000011
218,1.2800000000000011
219,1.3799999999999955
220,1.3799999999999955
221,1.4799999999999898
222,1.4199999999999875
223,1.5200000000000102
224,1.5
225,1.460000000000008
226,1.4000000000000057
227,1.3799999999999955
228,1.2800000000000011
229,1.1999999999999886
230,1.0999999999999943
231,0.9799999999999898
232,0.7800000000000011
233,0.28000000000000114
234,0.060000000000002274
235,0.0
236,-0.13999999999998636
237,0.060000000000002274
238,0.37999999999999545
239,0.3199999999999932
240,0.03999999999999204
241,-0.12000000000000455
242,-0.30000000000001137
243,-0.5
244,-0.6200000000000045
245,-0.6999999999999886
246,-0.7599999999999909
247,-0.8799999999999955
248,-0.9399999999999977
249,-1.0200000000000102
250,-1.0999999999999943
251,-1.0800000000000125
252,-1.0800000000000125
253,-0.960000000000008
254,-1.0800000000000125
255,-1.039999999999992
256,-1.0
257,-0.8000000000000114
258,-0.8199999999999932
259,-0.7599999999999909
260,-0.5800000000000125
261,-0.5800000000000125
262,-0.30000000000001137
263,-0.30000000000001137
264,-0.12000000000000455
265,0.0
266,0.18000000000000682
267,0.2400000000000091
268,0.37999999999999545
269,0.5800000000000125
270,0.7400000000000091
271,0.7800000000000011
272,1.0200000000000102
273,1.0800000000000125
274,1.2800000000000011
275,1.3600000000000136
276,1.5200000000000102
277,1.539999999999992
278,1.7199999999999989
279,1.5600000000000023
280,1.1200000000000045
281,0.9199999999999875
282,0.8600000000000136
283,1.0200000000000102
284,1.0200000000000102
285,1.1599999999999966
286,1.0600000000000023
287,1.0800000000000125
288,0.9799999999999898
289,0.7599999999999909
290,0.6800000000000068
291,0.5600000000000023
292,0.4199999999999875
293,0.3199999999999932
294,0.12000000000000455
295,0.1599999999999966
296,-0.060000000000002274
297,-0.060000000000002274
298,-0.28000000000000114
299,-0.3400000000000034
